Metric,Value
Accuracy,97.75583482944344
Precision_Spam,0.8881987577639752
Recall_Spam,0.9533333333333334
F1_Spam,0.9196141479099679
Precision_Ham,0.9926547743966422
Recall_Ham,0.9813278008298755
F1_Ham,0.9869587897756912
